スポット名,電話番号,URL,カナ,メインジャンル名,サブジャンル名,エリア名,本文,ic:住所_表記,住所2,ic:定型住所_区,郵便番号,緯度,経度,電話番号,営業時間,URL,アクセス,定休日,料金,駐車場,バリアフリー対応（観光）
神戸スカイアドベンチャーすずらん,078-597-7027,http://www.k-skyadv.com/,コウベスカイアドベンチャースズラン,スポーツ・レクリエーション,,北神戸,地上7mに設置されたアスレチックは、大人でも足が震えるほどの恐怖感を味わえるので、ゴールしたときの喜びや達成感は日常では味わえない感動です。 子供たちには試行錯誤しながら自由な発想で渡っていく学びや、最近当たり前のように体験できなくなった「冒険」をリアルに味わう事ができます。家族やカップルで参加すれば、会話は増え、笑顔があふれます。予約制で企業研修やチームビルディングも体験でき、通常の研修では味わえない一体感やチームの成長を体感出来ます。,神戸市北区山田町小部字妙賀山11-1,,北区,651-1101,34.735203,135.162434,078-597-7027,9:00～18:00 最終予約受付 16:00 / 最終スタート 17:00 ※日没等により時間の変更あり,http://www.k-skyadv.com/,神戸電鉄 北鈴蘭台駅より徒歩15分,不定休。 ただし団体貸し切りやメンテナンスでご利用いただけない場合がございますので、電話でのご予約をおすすめします。,"大人3,500円 / こども(小学生以下)3,000円
※見学のみや、エレメントにチャレンジされない方の入場は無料です。",無料専用駐車場あり,
KOBE三国志ガーデン,078-612-3594,http://www.3594garden.com/,コウベサンゴクシガーデン,歴史,体験・見学・クラフト,兵庫（新開地）・新長田・長田,"江戸時代から日本人に人気が継続している三国志演義。
日本のエンタメ文化の中で独自に発展してきました。その日本的三国志演義のミュージアムです。 
三国志の物語を最初から最後まで約150シーン、2000体で表現した13m×2.6mある巨大ジオラマは必見。
その他、映画レッドクリフで使われた衣装や小道具の展示三国の成り立ちを簡単に紹介したオリジナルアニメや
武将の武器の重さや長さなどを体験したり衣装を着たり出来ます。 
神戸新長田は漫画家横山光輝氏の故郷として氏の代表的作品のひとつ三国志をテーマに街中が三国志になっています。ぜひ遊びにいらしてください。",神戸市長田区二葉町5丁目1-1　アスタくにづか5番館　2F,,長田区,653-0042,34.652406,135.148259,078-612-3594,10:00～17:30(入館は17:00まで),http://www.3594garden.com/,地下鉄海岸線　駒ヶ林駅　上ってすぐ。　JR新長田駅徒歩10分。阪神高速湊川IC　西に約3分,水曜日 ※体験館は平日休館(臨時で開ける場合も有)  ※交流館はイベント時のみ開館,【大　人】　一般:400円　(団体:300円)　【中高生】　一般:300円　(団体:200円)　【小学生】　一般:200円　(団体:100円),近隣に駐車場あり,エレベーターあり<>車椅子入場可
神戸アンパンマンこどもミュージアム&モール,078-341-8855,http://www.kobe-anpanman.jp/,コウベアンパンマンコドモミュージアム&モール,体験・見学・クラフト,,メリケンパーク・ハーバーランド,テレビアニメ「それいけ！アンパンマン」の世界を楽しめる施設。2階はアンパンマンの世界を見て・触れて楽しむ体験型のミュージアム、1階にはアンパンマンの限定グッズやキャラクターパンを販売するショップのほか、カフェ、レストラン、子供のヘアサロンなど20店舗が集まるショッピングモールがあります。館内をパトロールするアンパンマンやお散歩する仲間たちとふれあえたり、アンパンマンが登場するステージも毎日開催されています。,神戸市中央区東川崎町1-6-2,,中央区,650-0044,34.678526,135.184857,078-341-8855,2階ミュージアム　10:00～18:00(最終入館17:00)  1階ショッピングモール　10:00～19:00,http://www.kobe-anpanman.jp/,JR 神戸駅・神戸市営地下鉄海岸線 ハーバーランド駅より徒歩約8分　阪急・阪神・山陽 高速神戸駅より徒歩約10分,元日,"ミュージアム入館料　1,500円(税込)(1歳以上)　※1歳～小学生以下のお子様は入館記念品付き
※障がい者手帳をお持ちの方は手帳の提示で50%割引(つきそい1名まで)
*ショッピングモールは入場料無料",駐車場なし,介助犬入場OK<>盲導犬入場OK<>エレベーターあり<>バリアフリートイレ<>車椅子利用可能トイレ<>車椅子入場可
兵庫県立美術館王子分館（原田の森ギャラリー）,078-801-1591,http://hyogo-arts.or.jp/harada/,ヒョウゴケンリツビジュツカンオウジブンカン（ハラダノモリギャラリー）,アート・カルチャー,,灘・東灘,兵庫県立美術館王子分館 原田の森ギャラリーは、平成14年4月に兵庫県立美術館「芸術の館」がHAT神戸に開館されたことにより、旧・兵庫県立近代美術館を活用し、その分館という位置づけで、平成１４年１０月１日に貸しギャラリーとしてオープンしました。旧・兵庫県立近代美術館は、昭和４５年に県政１００周年記念事業として誕生したメモリアルな建物であるとともに、都道府県立近代美術館としては全国で２番目に開館した美術館であり、我が国を代表する建築家の村野藤吾の作品でもあります。,神戸市灘区原田通3丁目8-30,,灘区,657-0837,34.708481,135.213387,078-801-1591,10:00 - 18:00,http://hyogo-arts.or.jp/harada/,阪急電車　王子公園駅下車　西へ徒歩約6分,月曜休館（祝日の場合は翌火曜が休館）,催事ごとに設定,有り（31台・有料）,
横尾忠則現代美術館,078-855-5602,http://www.ytmoca.jp/,ヨコオタダノリゲンダイビジュツカン,アート・カルチャー,,灘・東灘,横尾忠則現代美術館は、兵庫県西脇市出身の美術家、横尾忠則からの寄贈・寄託作品を適切な環境で保管し、多くの人に鑑賞していただくため、兵庫県立美術館王子分館（旧兵庫県立近代美術館、村野藤吾設計）の西館をリニューアルし、2012年11月に開館いたしました。,神戸市灘区原田通3-8-30,,灘区,657-0837,34.708481,135.213387,078-855-5607,10:00 - 18:00（展覧会会期中の金・土は20時まで）※最終入場は閉館の30分前,http://www.ytmoca.jp/,阪急電車　王子公園駅下車　西へ徒歩約6分／JR灘駅下車北へ徒歩約10分,月曜日（祝日の場合は翌日）,展示会により異なる,共用駐車場あり（有料）,
六甲山スノーパーク,078-891-0366,http://www.rokkosan.com/ski/,ロッコウサンスノーパーク,スポーツ・レクリエーション,,六甲山・摩耶山,傾斜がゆるやかなゲレンデが子どもや初心者の練習にぴったりの「六甲山スノーパーク」。ペアリフトは親子で一緒に乗れるので、安心です。スキースクールでは指導員が丁寧に指導をしているので、スキーを基本から学んで、楽しく上達しましょう。平日はもちろん、土日祝でも22時まで滑走できるので、お仕事帰りの練習も可能。もちろんレンタルも充実しているので、道具を持っていなくても大丈夫。スキー板やボードだけでなく、ウエアや短い板の「ファンスキー」もレンタルしています。,神戸市灘区六甲山町北六甲4512-98,,灘区,657-0101,34.765445,135.244439,078-891-0366,"スキー 9：00 - 22：00
スノーボード 16：00 - 22：00※　※平日（12月25日～1月6日の間は除く）は9：00 - 22：00
スノーランド（雪ゾリ、雪あそび） 9:00 - 17:00",http://www.rokkosan.com/ski/,六甲山上バス　六甲山スノーパーク下車, ※冬季期間中無休,"デイタイムチケット 9:00～15:30 大人（中学生以上）2,100円 子ども（3歳～小学生）1,050円
ナイターチケット 16:00～21:30  大人（中学生以上）2,600円  子ども（3歳～小学生）1,550円
※デイタイムチケットはリフト料金別。22:00まで入園可能。",,
KOBE鉄人三国志ギャラリー,078-641-3594,https://www.kobe-tetsujin.com/gallery.html,コウベテツジンサンゴクシギャラリー,歴史,,兵庫（新開地）・新長田・長田,故横山光輝さんの資料を一堂に集めたギャラリーです。代表作「三国志」のパネルや諸葛孔明の等身大のフィギュア、鉄人28号モニュメントの原型展示のほか、江戸時代の浮世絵や「三国志大戦」カードの展示、鉄人モニュメント制作風景を映像で楽しめるコーナー、孔明等身大像の設置などがあります。オフィシャルグッズ販売も充実しています。,神戸市長田区二葉町6-1-13　アスタくにづか6番館東棟1,,長田区,653-0042,34.652148,135.14778,078-641-3594,10:00～17:30（売店営業は17時まで）,https://www.kobe-tetsujin.com/gallery.html,地下鉄海岸線　駒ヶ林駅徒歩2分、JR新長田駅徒歩9分,水曜日（祝日の場合は翌日）,無料,,
太山寺,078-974-0250,http://www.do-main.co.jp/taisanji/,タイサンジ,神社・仏閣・庭園,歴史,西神戸,本堂は神戸市内で唯一の国宝の建造物です。平面は密教本堂式と呼ばれる形態で、入母屋造、銅板葺きの造りになっています。桁行7間、梁間6間の大堂で、技法は和様を主としており、正面はすべて蔀戸を用いるなど、古い手法が守られています。ただ、唐様の木鼻をつけ、肘木の西側半分が唐様で、折衷形式を少し加えているのが特徴です。,神戸市西区伊川谷町前開224,,西区,651-2108,34.69658,135.067475,078-976-6658,8:30～17:00（12月から2月は16:30まで）,http://www.do-main.co.jp/taisanji/,神戸地下鉄名谷駅か伊川谷駅よりバス 太山寺下車,なし,300円（小学生以上）団体割引あり,無料駐車場有,
TENRAN CAFE,078-894-2088,http://www.rokkosan.com/cable/tenran_cafe/,テンランカフェ,展望,,六甲山・摩耶山,"標高約737mの六甲ケーブル六甲山上駅に隣接する「天覧台」にある山上のくつろぎカフェ。眼下に広がる阪神間の街並みを眺めながら、神戸ウォータのドリップコーヒーや地元の食材を使ったこだわりのメニューを味わえます。また夜には1,000万ドルの夜景をお酒と一緒に楽しめます。",神戸市灘区六甲山町一ヶ谷1-32,六甲ケーブル六甲山上駅すぐ,灘区,658-0101,34.752004,135.237451,078-891-1011,11:00～20:30（ラストオーダー食事19:30、喫茶20:00）,http://www.rokkosan.com/cable/tenran_cafe/,六甲ケーブル「六甲山上駅」すぐ、天覧台内,無休,,無料駐車場有（30台）,
アシックススポーツミュージアム,078-303-1329,http://corp.asics.com/jp/about_asics/museum,アシックススポーツミュージアム,体験・見学・クラフト,スポーツ・レクリエーション,ポートアイランド・六甲アイランド,「スポーツの進化を体感」いただく企業博物館です。トップ選手の使用したシューズなどを、選手のプロフィールと共に展示。トップアスリートの世界記録の凄さも体感していただけます。,神戸市中央区港島中町7丁目1-1,,中央区,650-8555,34.668785,135.215635,078-303-1329,10:00～17:00（16:30までにご入館下さい）,http://corp.asics.com/jp/about_asics/museum,JR「三ノ宮」駅、阪神・阪急「神戸三宮」駅・神戸市営地下鉄「三宮」駅乗り換えポートライナーで「中埠頭」駅下車徒歩約2分。※「北埠頭」行きにご乗車ください。,毎週日曜日、月曜日、祝日、夏季休暇、年末年始休暇,無料,自家用車等をご利用の場合ミュージアム専用の乗用車用駐車場はご用意しておりません。近在に有料駐車場はありますが、できるだけ公共の交通機関をご利用ください。,
